Team,First Name,Last Name,Jersey Number,Coach,Team Image Number,Individual Image Number,Alt 1,Alt 2,Alt 3,Alt 4,Alt 5,Buddy Image Number,Parent Name,Address1,Address2,City,State,Zip Code,Country,Cell Phone,Email,Age,Grade,Coach Name,Feet,Inches,Weight,Position,Favorite Pro,Player Stat,Products,Packages,Additional Order,Retouching,Glasses Glare
Fashionistas,Ci'Ani,Jone‘s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MiniRitas,O'riya,Mayton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super Seniors,Ro'kell,Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super Seniors,Haylie,Maldonado-Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J-Fly,Sha'ciah,"Bank""s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNT,Dru,PeÌrez-MeÌndez (ram'a’s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNT,Sha'ciah,Bank’s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop 1,Sav-annah,PhilÌlip's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop 1,Olivia,Roìbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troop 1,Ja'laya,Shedrick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hollywood,Reese',Fleck’ab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hollywood,Alana,Gro’ssÌ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hollywood,Channing,D'anton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hollywood,Griselda,PeÌrez-MeÌndez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hollywood,Aubrey,Poo’l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hollywood,rajkumar,praÌd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hollywood,üäöÖßàáâãùúûÙÚÛÜòóôèéêëÀÁ,ÂÃÄÅÇÈÉÊËÌÍÎÏÑÒÓÔÕØåæçìíîïğñõøıÿ€,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hollywood,üäöÖßàáâãùúûÙÚÛÜòóôèéêë”()ÀÁÂ,"ÃÄÅÇÈÉÊËÌÍÎÏÑÒÓÔÕ’Øåæçìíîïğñõøı'ÿ""€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hollywood,üäöÖßàáâãùúûÙÚÛÜòóôèéêë”()ÀÁÂ,"ÃÄÅÇÈÉÊËÌÍÎÏÑÒÓÔÕ’Øåæçìíîïğñõøı'ÿ""€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hollywood,üäöÖßàáâãùúûÙÚÛÜòóôèéêë”()ÀÁÂÃÄ,"ÅÇÈÉÊËÌÍÎÏÑÒÓÔÕ’Øåæçìíîïğñõøı'ÿ""€",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
